countrycode,seriescode,Description
CHN,SP.ADO.TFRT,"The data for China do not include Hong Kong SAR, China; Macao SAR, China; and Taiwan, China."
CHN,IT.NET.USER.ZS,Ministry of Information Industry (MII). Ministry of Industry and Information Technology.
CHN,SP.POP.TOTL.FE.ZS,"Excluding Hong Kong SAR, China; Macao SAR, China; Taiwan, China."
CHN,ST.INT.TVLR.CD,Compiled from data reported in the International Monetary Fund's Balance of Payment Statistics database.
CHN,SP.POP.GROW,Data source: National Bureau of Statistics
CHN,IS.RRS.PASG.KM,Source: OECD
HKG,ST.INT.TRNR.CD,"Compiled from data reported by the country. The expenditure figures used were the ones provided by the country to UNWTO, as this data series is more complete than that provided by the International Monetary Fund (IMF) (Source: HKTB Visitors Survey).
2020: IMF data, not comparable with those of previous years."
HKG,SP.POP.TOTL,Data source: Census and Statistics Department
HKG,SP.DYN.TFRT.IN,"Data source: Census and Statistics Department, United Nations World Population Prospects"
HKG,ST.INT.RCPT.CD,"Compiled from data reported by the country. The expenditure figures used were the ones provided by the country to UNWTO, as this data series is more complete than that provided by the International Monetary Fund (IMF) (Source: HKTB Visitors Survey).
2020: IMF data, not comparable with those of previous years."
HKG,SM.POP.NETM,Data source: United Nations World Population Prospects
HKG,EG.ELC.RNEW.ZS,"Sources: World Energy Statistics and Balances, IEA (2014)"
HKG,SP.DYN.LE00.MA.IN,"Data source: Census and Statistics Department, United Nations World Population Prospects"
HKG,ST.INT.TVLX.CD,Compiled from data reported by the country. Source: Census and Statistics Department.
HKG,SP.DYN.AMRT.FE,Data source: United Nations World Population Prospects
HKG,SM.POP.TOTL,"For statistical purposes, the data for China do not include this area."
HKG,SP.DYN.AMRT.MA,Data source: United Nations World Population Prospects
HKG,SM.POP.TOTL.ZS,"For statistical purposes, the data for China do not include this area."
HKG,EG.FEC.RNEW.ZS,"Sources: World Energy Statistics and Balances, IEA (2014)"
HKG,SP.DYN.CDRT.IN,Data source: Census and Statistics Department
HKG,SP.DYN.LE00.IN,Derived using male and female life expectancy
HKG,IT.CEL.SETS.P2,Office of the Telecommunications Authority (OFTA).
HKG,SP.POP.GROW,Data source: Census and Statistics Department
HKG,ST.INT.ARVL,Includes overnight visitors (tourists) and same-day visitors (excursionists). Arrivals of non-resident visitors at national borders.
HKG,SP.DYN.LE00.FE.IN,"Data source: Census and Statistics Department, United Nations World Population Prospects"
HKG,IT.CEL.SETS,Office of the Telecommunications Authority (OFTA).
HKG,IT.NET.BBND.P2,Office of the Telecommunications Authority (OFTA).
HKG,SP.DYN.CBRT.IN,Data source: Census and Statistics Department
HKG,ST.INT.TVLR.CD,"Compiled from data reported by the country. The expenditure figures used were the ones provided by the country to UNWTO, as this data series is more complete than that provided by the International Monetary Fund (IMF) (Source: HKTB Visitors Survey).
2020: IMF data, not comparable with those of previous years."
HKG,IS.RRS.GOOD.MT.K6,Source: Internation Union of Railways (UIC)
HKG,ST.INT.DPRT,Includes overnight visitors (tourists) and same-day visitors (excursionists).
HKG,IT.MLT.MAIN.P2,Office of the Telecommunications Authority (OFTA).
HKG,IT.NET.USER.ZS,Office of the Telecommunications Authority (OFTA).
HKG,IT.NET.BBND,Office of the Telecommunications Authority (OFTA).
HKG,EG.EGY.PRIM.PP.KD,"Sources: World Energy Statistics and Balances, IEA (2014); World Development Indicators, WDI (2014)"
HKG,IT.MLT.MAIN,Office of the Telecommunications Authority (OFTA).
IDN,DT.DOD.DECT.CD,"Long-term public and publicly guaranteed debt, long-term private non-guaranteed debt, and short-term debt data for 2024 are based on reports provided by the country."
IDN,IS.RRS.PASG.KM,Source: Internation Union of Railways (UIC) & Indonesia Transport Statistics Book
IDN,SP.DYN.CBRT.IN,Data source: United Nations World Population Prospects
IDN,ST.INT.TRNR.CD,Compiled from data reported in the International Monetary Fund's Balance of Payment Statistics database.
IDN,EG.ELC.RNEW.ZS,"Sources: World Energy Statistics and Balances, IEA (2014)"
IDN,ST.INT.DPRT,Includes overnight visitors (tourists) only.
IDN,IT.CEL.SETS,"Directorate General of Posts and Telecommunications (POSTEL), PT Indosat, PT Telekom."
IDN,IT.MLT.MAIN,"Directorate General of Posts and Telecommunications (POSTEL), PT Indosat, PT Telekom."
IDN,SP.DYN.CDRT.IN,Data source: United Nations World Population Prospects
IDN,IS.RRS.GOOD.MT.K6,Source: Internation Union of Railways (UIC) & Indonesia Transport Statistics Book
IDN,IT.NET.USER.ZS,"Directorate General of Posts and Telecommunications (POSTEL), PT Indosat, PT Telekom."
IDN,SP.POP.TOTL,Data source: United Nations World Population Prospects
IDN,IT.NET.BBND.P2,"Directorate General of Posts and Telecommunications (POSTEL), PT Indosat, PT Telekom."
IDN,ST.INT.TVLR.CD,Compiled from data reported in the International Monetary Fund's Balance of Payment Statistics database.
IDN,IT.CEL.SETS.P2,"Directorate General of Posts and Telecommunications (POSTEL), PT Indosat, PT Telekom."
IDN,IT.MLT.MAIN.P2,"Directorate General of Posts and Telecommunications (POSTEL), PT Indosat, PT Telekom."
IDN,SP.DYN.LE00.IN,Data source: United Nations World Population Prospects
IDN,MS.MIL.XPND.CN,1974-1994 SIPRI estimates.
IDN,MS.MIL.XPND.GD.ZS,1974-1994 SIPRI estimates.
IDN,EG.EGY.PRIM.PP.KD,"Sources: World Energy Statistics and Balances, IEA (2014); World Development Indicators, WDI (2014)"
IDN,IT.NET.BBND,"Directorate General of Posts and Telecommunications (POSTEL), PT Indosat, PT Telekom."
IDN,ST.INT.XPND.CD,Compiled from data reported in the International Monetary Fund's Balance of Payment Statistics database.
IDN,SM.POP.NETM,Data source: United Nations World Population Prospects
IDN,SP.DYN.TFRT.IN,Data source: United Nations World Population Prospects
IDN,SP.DYN.AMRT.FE,Data source: United Nations World Population Prospects
IDN,SP.POP.GROW,Data source: United Nations World Population Prospects
IDN,SP.DYN.AMRT.MA,Data source: United Nations World Population Prospects
IDN,ST.INT.RCPT.CD,Compiled from data reported in the International Monetary Fund's Balance of Payment Statistics database.
IDN,SP.DYN.LE00.MA.IN,Data source: United Nations World Population Prospects
IDN,MS.MIL.XPND.CD,1974-1994 SIPRI estimates.
IDN,ST.INT.ARVL,Includes overnight visitors (tourists) and same-day visitors (excursionists). Arrivals of non-resident visitors at national borders.
IDN,MS.MIL.XPND.ZS,1974-1994 SIPRI estimates.
IDN,EG.FEC.RNEW.ZS,"Sources: World Energy Statistics and Balances, IEA (2014)"
IDN,ST.INT.TRNX.CD,Compiled from data reported in the International Monetary Fund's Balance of Payment Statistics database.
IDN,IS.RRS.TOTL.KM,Source: Internation Union of Railways (UIC) & Indonesia Transport Statistics Book
IDN,ST.INT.TVLX.CD,Compiled from data reported in the International Monetary Fund's Balance of Payment Statistics database.
IDN,SP.DYN.LE00.FE.IN,Data source: United Nations World Population Prospects
IND,ST.INT.XPND.CD,Compiled from data reported in the International Monetary Fund's Balance of Payment Statistics database.
IND,CM.MKT.TRNR,Source: BSE India: https://www.bseindia.com/markets/equity/EQReports/allindiamktcap.aspx
IND,IT.NET.BBND,Department of Telecommunications (DOT). Ministry of Communications and Information Technology.
IND,IT.CEL.SETS.P2,Department of Telecommunications (DOT). Ministry of Communications and Information Technology.
IND,ST.INT.RCPT.CD,Compiled from data reported in the International Monetary Fund's Balance of Payment Statistics database.
IND,IT.NET.USER.ZS,Department of Telecommunications (DOT). Ministry of Communications and Information Technology.
IND,SP.POP.GROW,Data source: United Nations World Population Prospects
IND,SP.DYN.LE00.FE.IN,Data source: United Nations World Population Prospects
IND,ST.INT.DPRT,"Includes overnight visitors (tourists) only. Departures of nationals only, irrespective of purpose."
IND,ST.INT.TVLX.CD,Compiled from data reported in the International Monetary Fund's Balance of Payment Statistics database.
IND,IS.RRS.PASG.KM,Source: OECD
IND,SP.DYN.CBRT.IN,"Data source: United Nations Population and Vital Statistics Report, Sample Registration System, United Nations World Population Prospects"
IND,SL.TLF.ACTI.1524.MA.ZS,"The reference period covers the calendar year for the ILO-modeled estimates. In contrast, the corresponding national estimate series, based on the Periodic Labour Force Survey (PLFS), refers to the period from July to June. While the trends align in normal circumstances, in 2020, a significant economic and labor market impact (due to the COVID pandemic) contributed to the divergences between the PLFS-based and ILO-modeled estimates."
IND,SL.TLF.ACTI.1524.FE.ZS,"The reference period covers the calendar year for the ILO-modeled estimates. In contrast, the corresponding national estimate series, based on the Periodic Labour Force Survey (PLFS), refers to the period from July to June. While the trends align in normal circumstances, in 2020, a significant economic and labor market impact (due to the COVID pandemic) contributed to the divergences between the PLFS-based and ILO-modeled estimates."
IND,SL.EMP.TOTL.SP.ZS,"The reference period covers the calendar year for the ILO-modeled estimates. In contrast, the corresponding national estimate series, based on the Periodic Labour Force Survey (PLFS), refers to the period from July to June. While the trends align in normal circumstances, in 2020, a significant economic and labor market impact (due to the COVID pandemic) contributed to the divergences between the PLFS-based and ILO-modeled estimates."
IND,SL.TLF.ACTI.1524.ZS,"The reference period covers the calendar year for the ILO-modeled estimates. In contrast, the corresponding national estimate series, based on the Periodic Labour Force Survey (PLFS), refers to the period from July to June. While the trends align in normal circumstances, in 2020, a significant economic and labor market impact (due to the COVID pandemic) contributed to the divergences between the PLFS-based and ILO-modeled estimates."
IND,ST.INT.TRNR.CD,Compiled from data reported in the International Monetary Fund's Balance of Payment Statistics database.
IND,SL.EMP.TOTL.SP.MA.ZS,"The reference period covers the calendar year for the ILO-modeled estimates. In contrast, the corresponding national estimate series, based on the Periodic Labour Force Survey (PLFS), refers to the period from July to June. While the trends align in normal circumstances, in 2020, a significant economic and labor market impact (due to the COVID pandemic) contributed to the divergences between the PLFS-based and ILO-modeled estimates."
IND,SL.EMP.TOTL.SP.FE.ZS,"The reference period covers the calendar year for the ILO-modeled estimates. In contrast, the corresponding national estimate series, based on the Periodic Labour Force Survey (PLFS), refers to the period from July to June. While the trends align in normal circumstances, in 2020, a significant economic and labor market impact (due to the COVID pandemic) contributed to the divergences between the PLFS-based and ILO-modeled estimates."
IND,SP.DYN.CDRT.IN,"Data source: United Nations Population and Vital Statistics Report, Sample Registration System, United Nations World Population Prospects"
IND,SP.POP.TOTL,Data source: United Nations World Population Prospects
IND,MS.MIL.XPND.GD.ZS,1960-1987 SIPRI estimates.
IND,SL.TLF.CACT.FE.ZS,"The reference period covers the calendar year for the ILO-modeled estimates. In contrast, the corresponding national estimate series, based on the Periodic Labour Force Survey (PLFS), refers to the period from July to June. While the trends align in normal circumstances, in 2020, a significant economic and labor market impact (due to the COVID pandemic) contributed to the divergences between the PLFS-based and ILO-modeled estimates."
IND,SL.TLF.CACT.FM.ZS,"The reference period covers the calendar year for the ILO-modeled estimates. In contrast, the corresponding national estimate series, based on the Periodic Labour Force Survey (PLFS), refers to the period from July to June. While the trends align in normal circumstances, in 2020, a significant economic and labor market impact (due to the COVID pandemic) contributed to the divergences between the PLFS-based and ILO-modeled estimates."
IND,SL.TLF.CACT.MA.ZS,"The reference period covers the calendar year for the ILO-modeled estimates. In contrast, the corresponding national estimate series, based on the Periodic Labour Force Survey (PLFS), refers to the period from July to June. While the trends align in normal circumstances, in 2020, a significant economic and labor market impact (due to the COVID pandemic) contributed to the divergences between the PLFS-based and ILO-modeled estimates."
IND,SL.TLF.CACT.ZS,"The reference period covers the calendar year for the ILO-modeled estimates. In contrast, the corresponding national estimate series, based on the Periodic Labour Force Survey (PLFS), refers to the period from July to June. While the trends align in normal circumstances, in 2020, a significant economic and labor market impact (due to the COVID pandemic) contributed to the divergences between the PLFS-based and ILO-modeled estimates."
IND,SL.UEM.1524.FE.ZS,"The reference period covers the calendar year for the ILO-modeled estimates. In contrast, the corresponding national estimate series, based on the Periodic Labour Force Survey (PLFS), refers to the period from July to June. While the trends align in normal circumstances, in 2020, a significant economic and labor market impact (due to the COVID pandemic) contributed to the divergences between the PLFS-based and ILO-modeled estimates."
IND,SL.UEM.1524.MA.ZS,"The reference period covers the calendar year for the ILO-modeled estimates. In contrast, the corresponding national estimate series, based on the Periodic Labour Force Survey (PLFS), refers to the period from July to June. While the trends align in normal circumstances, in 2020, a significant economic and labor market impact (due to the COVID pandemic) contributed to the divergences between the PLFS-based and ILO-modeled estimates."
IND,ST.INT.ARVL,Includes overnight visitors (tourists) only. Arrivals of non-resident tourists at national borders. From 2014 including nationals residing abroad.
IND,EG.FEC.RNEW.ZS,"Sources: World Energy Statistics and Balances, IEA (2014)"
IND,ST.INT.TVLR.CD,Compiled from data reported in the International Monetary Fund's Balance of Payment Statistics database.
IND,SL.UEM.1524.ZS,"The reference period covers the calendar year for the ILO-modeled estimates. In contrast, the corresponding national estimate series, based on the Periodic Labour Force Survey (PLFS), refers to the period from July to June. While the trends align in normal circumstances, in 2020, a significant economic and labor market impact (due to the COVID pandemic) contributed to the divergences between the PLFS-based and ILO-modeled estimates."
IND,SL.UEM.TOTL.FE.ZS,"The reference period covers the calendar year for the ILO-modeled estimates. In contrast, the corresponding national estimate series, based on the Periodic Labour Force Survey (PLFS), refers to the period from July to June. While the trends align in normal circumstances, in 2020, a significant economic and labor market impact (due to the COVID pandemic) contributed to the divergences between the PLFS-based and ILO-modeled estimates."
